name,version,direct,dependencyType,scope,source,licenseMetadata,licenseFileDetected,licenseFromFileGuess,metadataFileMatch,inProductionBundle,devToolOnly,obligations,risk,recommendedAction,repository,homepage,whereFound
"@dnd-kit/utilities","3.2.2","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/clauderic/dnd-kit.git","","prod"
"date-fns","4.1.0","direct","dependency","prod","npm","MIT","LICENSE.md","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/date-fns/date-fns","","prod"
"dexie","4.4.2","direct","dependency","prod","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","yes","no","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","https://github.com/dexie/Dexie.js.git","https://dexie.org","prod"
"fflate","0.8.2","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/101arrowz/fflate","https://101arrowz.github.io/fflate","prod"
"nanoid","5.1.7","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","ai/nanoid","","prod"
"react","19.2.4","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://react.dev/","prod"
"react-dom","19.2.4","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://react.dev/","prod"
"react-hook-form","7.72.1","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/react-hook-form/react-hook-form","https://react-hook-form.com","prod"
"zod","3.25.76","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/colinhacks/zod.git","https://zod.dev","prod"
"@dnd-kit/sortable","10.0.0","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/clauderic/dnd-kit.git","","prod"
"@dnd-kit/core","6.3.1","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/clauderic/dnd-kit.git","","prod"
"tslib","2.8.1","transitive","transitive dependency","prod","npm","0BSD","LICENSE.txt","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/Microsoft/tslib.git","https://www.typescriptlang.org/","prod"
"dompurify","3.3.3","direct","dependency","prod","npm","(MPL-2.0 OR Apache-2.0)","LICENSE","Apache License","mismatch-possible","yes","no","zachowanie copyright; NOTICE (je?li istnieje); patent notice; wymagana weryfikacja prawna","GREEN","zachowaj notice/licencje","git://github.com/cure53/DOMPurify.git","https://github.com/cure53/DOMPurify","prod"
"@types/trusted-types","2.0.7","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/trusted-types","prod"
"lucide-react","0.460.0","direct","dependency","prod","npm","ISC","LICENSE","ISC License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/lucide-icons/lucide.git","https://lucide.dev","prod"
"react-easy-crop","5.5.7","direct","dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ValentinH/react-easy-crop","https://ValentinH.github.io/react-easy-crop/","prod"
"normalize-wheel","1.0.1","transitive","transitive dependency","prod","npm","BSD-3-Clause","LICENSE","BSD","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","","","prod"
"react-router","7.14.0","direct","dependency","prod","npm","MIT","LICENSE.md","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/remix-run/react-router","","prod"
"cookie","1.1.1","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","jshttp/cookie","","prod"
"set-cookie-parser","2.7.2","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","nfriedly/set-cookie-parser","https://github.com/nfriedly/set-cookie-parser","prod"
"sonner","2.0.7","direct","dependency","prod","npm","MIT","LICENSE.md","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/emilkowalski/sonner.git","https://sonner.emilkowal.ski/","prod"
